date,score_mean_10,sentiment_twitter_10,close,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start
2018/11/28,-0.00625,-0.0251955,69.197998,2018,11,48,28,2,332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/11/29,-0.07529,0.01618275,69.400002,2018,11,48,29,3,333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/11/30,0,0.0246209,68.365997,2018,11,48,30,4,334,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/3,-0.02683,0.053500675,72,2018,12,49,3,0,337,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/4,0,0.07113734,71.209999,2018,12,49,4,1,338,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/6,-0.08476,0.098870529,71.202003,2018,12,49,6,3,340,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/7,0,0.090347075,73.800003,2018,12,49,7,4,341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/10,-0.13415,0.084926356,72,2018,12,50,10,0,344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/11,-0.20845,0.08853772,73.982002,2018,12,50,11,1,345,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/12,-0.18113,0.10784557,73.884003,2018,12,50,12,2,346,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/13,-0.14265,0.11351377,74.029999,2018,12,50,13,3,347,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/14,-0.17337,0.11474502,75,2018,12,50,14,4,348,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/17,-0.26315,0.09904618,72.400002,2018,12,51,17,0,351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/18,-0.26573,0.08704339,70.108002,2018,12,51,18,1,352,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018/12/19,-0.29973,0.05497479,67.519997,2018,12,51,19,2,353,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
